[8, 7, 23, 29, 9, 2, 30, 14, 3, 12, 25, 10, 22, 24, 27, 11, 26, 29, 1, 19, 15, 5, 17, 18, 28, 20, 21, 13, 6, 16]
[8, 7, 23, 29, 9, 2, 30, 14, 3, 12, 25, 10, 22, 24, 27, 11, 26, 29, 1, 19, 15, 5, 17, 18, 28, 20, 3, 13, 6, 16]
[8, 7, 23, 29, 9, 2, 30, 14, 3, 12, 25, 10, 22, 24, 27, 11, 4, 29, 1, 19, 15, 5, 17, 18, 28, 20, 3, 13, 6, 16]
[8, 7, 23, 29, 9, 2, 30, 14, 3, 12, 25, 10, 22, 24, 27, 11, 4, 29, 1, 19, 15, 5, 17, 18, 28, 20, 3, 13, 26, 16]
[8, 7, 23, 29, 9, 2, 30, 14, 3, 12, 25, 10, 22, 24, 27, 11, 4, 29, 1, 19, 15, 5, 17, 18, 28, 20, 3, 13, 26, 21]
[8, 7, 23, 29, 9, 2, 30, 14, 3, 12, 25, 10, 22, 24, 16, 11, 4, 29, 1, 19, 15, 5, 17, 18, 28, 20, 3, 13, 26, 21]
[8, 7, 23, 29, 9, 2, 30, 27, 3, 12, 25, 10, 22, 24, 16, 11, 4, 29, 1, 19, 15, 5, 17, 18, 28, 20, 3, 13, 26, 21]
[8, 7, 23, 29, 9, 2, 30, 27, 3, 12, 25, 10, 22, 24, 16, 11, 4, 29, 1, 19, 15, 5, 17, 18, 28, 20, 2, 13, 26, 21]
[14, 7, 23, 29, 9, 2, 30, 27, 3, 12, 25, 10, 22, 24, 16, 11, 4, 29, 1, 19, 15, 5, 17, 18, 28, 20, 2, 13, 26, 21]
[14, 7, 23, 29, 9, 2, 30, 27, 3, 12, 25, 10, 22, 24, 16, 11, 4, 29, 1, 19, 15, 6, 17, 18, 28, 20, 2, 13, 26, 21]
[14, 7, 23, 29, 9, 2, 30, 27, 3, 12, 25, 10, 22, 24, 16, 11, 4, 29, 1, 19, 15, 6, 17, 18, 28, 20, 5, 13, 26, 21]
[14, 7, 23, 29, 9, 2, 30, 27, 3, 12, 25, 10, 6, 24, 16, 11, 4, 29, 1, 19, 15, 6, 17, 18, 28, 20, 5, 13, 26, 21]
[14, 7, 23, 29, 9, 2, 30, 27, 3, 12, 25, 10, 6, 24, 16, 11, 4, 29, 1, 19, 15, 22, 17, 18, 28, 20, 5, 13, 26, 21]
[14, 7, 23, 29, 9, 2, 30, 27, 3, 12, 23, 10, 6, 24, 16, 11, 4, 29, 1, 19, 15, 22, 17, 18, 28, 20, 5, 13, 26, 21]
[14, 7, 23, 29, 9, 2, 30, 27, 3, 12, 23, 18, 6, 24, 16, 11, 4, 29, 1, 19, 15, 22, 17, 18, 28, 20, 5, 13, 26, 21]
[14, 7, 23, 29, 9, 2, 30, 27, 3, 12, 25, 18, 6, 24, 16, 11, 4, 29, 1, 19, 15, 22, 17, 18, 28, 20, 5, 13, 26, 21]
[14, 7, 23, 29, 9, 2, 30, 27, 3, 12, 25, 18, 6, 24, 16, 11, 4, 29, 1, 19, 2, 22, 17, 18, 28, 20, 5, 13, 26, 21]
